============================================================
   CATALOGUE COMPLET - TOUS LES PARFUMS 10ML
   Source: twinfragrance.shop
   Total: 99 HOMMES + 31 FEMMES = 130 Parfums
============================================================

------------------------------------------------------------
 PRIX ACCESSIBLE (40 - 80 dh)
------------------------------------------------------------
MOMENTO 10ML                                    40 dh    | HOMME
VIBRATO 10 ML                                  250 dh    | HOMME
OMBRE LEATHER EDP 10 ML                        250 dh    | FEMME
TOM FORD OMBRE LEATHER EAU PARFUM 10ML         270 dh    | HOMME
TOM FORD OMBRE LEATHER LE PARFUM 10ML          270 dh    | FEMME
DELINA EXCLUSIF 10ML                           280 dh    | FEMME
LAMAR BY KAJAL EDP 10ML                        300 dh    | HOMME
MASA KAJAL 10ML                                300 dh    | HOMME
UNIQUE'E LUXURY SOSCENTIFIC 10ML               300 dh    | HOMME
UNIQUE'S LUXURY BEVERLY HILLS 10ML             300 dh    | HOMME
UNIQUE'E LUXURY IZMIR 10ML                     300 dh    | HOMME
NAXOS BY XERJOFF 10ML                          350 dh    | HOMME
BLUE TALISMAN 10ML                             350 dh    | HOMME
AQUAMARINE TOUCH THE FRAGRANCE 10ML            350 dh    | HOMME
XERJOFF 40KNOTS 10ML                           350 dh    | HOMME
CASAMORATI ITALICA 10ML                        350 dh    | HOMME
XERJOFF MORE THAN WORDS 10 ML                  350 dh    | HOMME
XERJOFF OPERA 10 ML                            350 dh    | HOMME
XERJOFF ACCENTO GOLD 10 ML                     350 dh    | HOMME
XERJOFF SOPRANO 10 ML                          350 dh    | HOMME
XERJOFF ACCENTO 10 ML                          350 dh    | HOMME
XERJOFF OUVERTURE 10 ML                        350 dh    | HOMME
PENHALIGON'S BABYLON 10ML                      350 dh    | HOMME
ROUGE MALACHITE 10ML                           400 dh    | FEMME
AMOUAGE INTERLUDE 10 ML                        400 dh    | HOMME
ZINGI UNIQUE'E LUXURY 10ML                     400 dh    | HOMME
TERONI 10 ML                                   450 dh    | HOMME
XERJOFF LA CAPITALE 10 ML                      450 dh    | HOMME
IMAGINATION LOUIS VUITTON 10ML                 500 dh    | HOMME
ANGEL SHARE 10 ML                              500 dh    | HOMME
AFTERNOON SWIM LOUIS VUITTON 10ML              500 dh    | HOMME
BABYCAT YSL 10 ML                              500 dh    | HOMME
GRAND SOIR 10 ML                               500 dh    | HOMME
CREED OUD ZARIAN 10 ML                         500 dh    | HOMME
ELVES LOUIS VUITTON 10ML                       500 dh    | HOMME
CALIFORNIA DREAM LOUIS VUITTON 10ML            500 dh    | HOMME
COEUR BATTANT LOUIS VUITTON 10ML               500 dh    | HOMME
ORAGE LOUIS VUITTON 10ML                       500 dh    | HOMME
METEORE LOUIS VUITTON 10ML                     500 dh    | HOMME
TUXEDO YSL 10 ML                               500 dh    | HOMME
OMBRE NOMADE 10 ML                             500 dh    | FEMME
ORAGE LOUIS VUITTON 10ML                       500 dh    | FEMME
COEUR BATTANT LOUIS VUITTON 10 ML              500 dh    | FEMME
CALIFORNIA DREAM LOUIS VUITTON 10ML            500 dh    | FEMME
IMAGINATION LOUIS VUITTON 10 ML                500 dh    | FEMME
AFTERNOON SWIM LOUIS VUITTON 10ML              500 dh    | FEMME
ELVES LOUIS VUITTON 10ML                       500 dh    | FEMME
METEORE LOUIS VUITTON 10ML                     500 dh    | FEMME

------------------------------------------------------------
 NICHE / LUXE (550 - 750 dh)
------------------------------------------------------------
GOD OF FIRE STEPHANE HUMBERT 10 ML             550 dh    | HOMME
GOD OF FIRE STEPHANE HUMBERT 10 ML             550 dh    | FEMME
ARDENT BOADICEA THE VICTORIOUS 10 ML           600 dh    | HOMME
COMPLEX BOADICEA THE VICTORIOUS 10 ML          600 dh    | HOMME
BYREDO BAL D'AFRIQUE 10 ML                     600 dh    | HOMME
BLACK PHANTOM BY KILIAN 10ML                   700 dh    | HOMME
ZOOLOGISTE ORCHID MANTIS 10 ML                 700 dh    | HOMME
BLACK PHANTOM BY KILIAN FRIEND 10ML            700 dh    | HOMME
RICHWOOD BY XERJOFF 10ML                       700 dh    | HOMME
ZOOLOGISTE DODO JACKFRUIT 10ML                 700 dh    | HOMME
OUD STALLION 10 ML                             700 dh    | HOMME
MAISON CRIVELLI OUD MARACUJA 10ML              750 dh    | HOMME
HIBISCUS MAHAJAD 10ML                          750 dh    | HOMME
CLIVE CHRISTIAN 1872 10ML                      750 dh    | HOMME
MAISON CRIVELLI SAFRAN SECRET 10ML             750 dh    | HOMME

============================================================
 TOTAL HOMMES  : 99 parfums
 TOTAL FEMMES  : 31 parfums
 TOTAL GENERAL : 130 parfums
 Prix min : 40 dh  |  Prix max : 750 dh
 Source : https://twinfragrance.shop
============================================================
